,Date,Oil,Min,Max,Diff,Refil
153,2021-06-02,2.792222222222222,2.77,2.87,0.06493055555555571,False
154,2021-06-03,2.768090277777778,2.66,2.77,0.02413194444444411,False
155,2021-06-04,2.769236111111111,2.66,2.77,-0.0011458333333327353,False
156,2021-06-05,2.7998611111111114,2.77,2.87,-0.03062500000000057,False
157,2021-06-06,2.7960416666666665,2.77,2.87,0.0038194444444448195,False
158,2021-06-07,2.792569444444444,2.77,2.87,0.003472222222222321,False
159,2021-06-08,2.7842361111111114,2.77,2.87,0.00833333333333286,False
160,2021-06-09,2.784930555555556,2.77,2.87,-0.000694444444444553,False
161,2021-06-10,2.7842361111111114,2.77,2.87,0.000694444444444553,False
162,2021-06-11,2.777638888888889,2.77,2.87,0.006597222222222143,False
163,2021-06-12,2.774861111111111,2.77,2.87,0.002777777777778212,False
164,2021-06-13,2.7821527777777777,2.77,2.87,-0.007291666666666696,False
165,2021-06-14,2.7831944444444447,2.77,2.87,-0.0010416666666670515,False
166,2021-06-15,2.774861111111111,2.77,2.87,0.008333333333333748,False
167,2021-06-16,2.77,2.77,2.77,0.004861111111110983,False
168,2021-06-17,2.77,2.77,2.77,-0.0,False
169,2021-06-18,2.77,2.77,2.77,-0.0,False
170,2021-06-19,2.77,2.77,2.77,-0.0,False
171,2021-06-20,2.7188194444444442,2.66,2.77,0.051180555555555785,False
172,2021-06-21,2.658263888888889,2.56,2.66,0.06055555555555525,False
173,2021-06-22,2.6593055555555556,2.56,2.66,-0.0010416666666666075,False
174,2021-06-23,2.6645833333333337,2.66,2.77,-0.005277777777778159,False
175,2021-06-24,2.6603819444444445,2.66,2.77,0.004201388888889213,False
176,2021-06-25,2.6596527777777776,2.56,2.66,0.0007291666666668917,False
177,2021-06-26,2.66,2.66,2.66,-0.00034722222222249854,False
178,2021-06-27,2.6596527777777776,2.56,2.66,0.00034722222222249854,False
179,2021-06-28,2.7322569444444444,2.66,2.97,-0.0726041666666668,False
180,2021-06-29,3.2642708333333332,2.87,3.61,-0.5320138888888888,False
181,2021-06-30,3.5401041666666666,3.5,3.61,-0.2758333333333334,False
182,2021-07-01,3.564548611111111,3.5,3.61,-0.02444444444444427,False
183,2021-07-02,3.5996875,3.5,3.61,-0.03513888888888905,False
184,2021-07-03,3.6248958333333334,3.61,3.72,-0.0252083333333335,False
185,2021-07-04,3.686770833333333,3.61,3.72,-0.06187499999999968,False
186,2021-07-05,3.7200000000000006,3.72,3.72,-0.03322916666666753,False
187,2021-07-06,3.7257291666666665,3.72,3.83,-0.005729166666665897,False
188,2021-07-07,3.7375694444444445,3.72,3.83,-0.011840277777777963,False
189,2021-07-08,3.7578125,3.72,3.83,-0.0202430555555555,False
190,2021-07-09,3.8212152777777777,3.72,3.83,-0.0634027777777777,False
191,2021-07-10,3.8242708333333337,3.72,3.94,-0.003055555555556033,False
192,2021-07-11,3.8578819444444443,3.83,3.94,-0.03361111111111059,False
193,2021-07-12,3.8976041666666665,3.83,3.94,-0.039722222222222214,False
194,2021-07-13,3.9388541666666663,3.83,3.94,-0.04124999999999979,False
195,2021-07-14,3.940763888888889,3.94,4.05,-0.0019097222222228538,False
196,2021-07-15,3.9587152777777774,3.94,4.05,-0.017951388888888253,False
197,2021-07-16,3.992326388888889,3.94,4.05,-0.03361111111111148,False
198,2021-07-17,4.044270833333333,3.94,4.05,-0.05194444444444413,False
199,2021-07-18,4.05,4.05,4.05,-0.005729166666666785,False
200,2021-07-19,4.051909722222223,4.05,4.16,-0.0019097222222228538,False
201,2021-07-20,4.020208333333333,3.94,4.16,0.03170138888888996,False
202,2021-07-21,3.9388541666666663,3.83,3.94,0.0813541666666664,False
203,2021-07-22,3.94,3.94,3.94,-0.0011458333333336235,False
204,2021-07-23,4.004166666666666,3.94,4.05,-0.06416666666666648,False
